nurse_id,first_name,last_name,gender,date_of_birth,department_id,phone_number,email,years_of_experience,shift_details
278,Kenon,Allawy,male,1998-09-11,13,212-841-0041,kallawy7p@angelfire.com,31,night shift
279,Tarra,Greves,female,1995-09-28,16,460-293-1637,tgreves7q@illinois.edu,33,day shift
280,Olwen,Prater,female,1978-10-24,19,752-108-8488,oprater7r@hc360.com,32,night shift
281,Renell,Kareman,female,1992-03-28,3,569-584-9962,rkareman7s@typepad.com,32,day shift
282,Felipa,Whetland,female,1971-12-11,7,424-328-6118,fwhetland7t@twitter.com,15,night shift
283,Philip,Katzmann,female,1987-02-12,12,885-210-3180,pkatzmann7u@taobao.com,30,weekend shift
284,Garner,Dundridge,female,1990-11-16,18,971-281-3966,gdundridge7v@icio.us,1,night shift
285,Basile,Olyfant,female,1991-03-09,5,724-592-9352,bolyfant7w@istockphoto.com,25,weekend shift
286,Trixie,Ortes,female,1985-05-20,9,151-766-0542,tortes7x@deviantart.com,16,night shift
287,Ashley,Tapenden,female,1965-03-01,15,447-721-0210,atapenden7y@bbb.org,2,night shift
288,Krystalle,Keuntje,male,1984-11-20,2,731-499-3281,kkeuntje7z@google.com.hk,13,night shift
289,Donni,Shepherd,female,1971-11-11,10,194-740-4196,dshepherd80@disqus.com,31,weekend shift
290,Alexander,Durtnell,male,1980-07-17,14,458-882-6190,adurtnell81@flickr.com,35,day shift
291,Henrieta,Ethelstone,female,2004-02-28,6,740-620-3277,hethelstone82@dyndns.org,9,day shift
292,Lora,Saddleton,male,1968-06-04,1,834-382-8992,lsaddleton83@pinterest.com,2,day shift
293,Rahel,Montacute,male,1967-05-22,8,719-757-6400,rmontacute84@slate.com,31,night shift
294,Timoteo,Hares,male,1968-02-12,11,950-581-7431,thares85@symantec.com,10,night shift
295,Dona,Tointon,male,1987-12-07,17,716-802-2729,dtointon86@slashdot.org,1,day shift
296,Cece,Pashler,male,1990-04-03,4,504-689-4566,cpashler87@chicagotribune.com,5,day shift
297,Bastian,Gabites,female,1990-07-17,20,859-871-5148,bgabites88@zdnet.com,20,weekend shift
298,Gorden,Donke,male,2001-01-01,13,856-120-8640,gdonke89@hhs.gov,4,weekend shift
299,Bartel,Gaddas,male,1971-07-28,16,708-379-1439,bgaddas8a@ebay.co.uk,8,day shift
300,Vernice,Delacour,male,1970-05-27,19,898-368-1730,vdelacour8b@phpbb.com,25,night shift
